fist_name,last_name,gender,location,email,age,university,inscription_date,career,postal_code
SHEILA,ANDREWS,F,"7481_GREGORY_BURGS
CARRSIDE,_NE_57868",RANDERSON@GMAIL.COM,3.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-23,LICENCIATURA_EN_CIENCIAS_DE_LA_EDUCACIÓN_,4231
ANTHONY,GIBSON,M,"103_WILLIAMS_HILL_APT._977
WEST_KYLEBURGH,_OR_69212",ROBINSONJENNIFER@YAHOO.COM,-6.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-10,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,8326
ERIC,HALL,M,"022_RUSSO_RIDGE_SUITE_426
TAMARATOWN,_LA_52741",SHELBY66@YAHOO.COM,16.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-23,ARQUITECTURA,8138
WILLIAM,TRAVIS,M,"381_MATTHEW_SHORES
WILLIAMSIDE,_AK_51848",DIANECARRILLO@YAHOO.COM,-38.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-12-24,LICENCIATURA_EN_PSICOLOGÍA,2622
TAYLOR,PAYNE,F,"PSC_2351,_BOX_5295
APO_AP_08014",ANDERSENDEREK@YAHOO.COM,-9.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-11,INGENIERÍA_ELECTRÓNICA,4144
DAVID,RICHARD,M,"68563_PHILLIPS_RIVER_APT._795
NORTH_SARABERG,_KY_09731",KATRINAREYES@YAHOO.COM,30.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-17,DISEÑO_DE_IMAGEN_Y_SONIDO,5372
PAMELA,TRUJILLO,F,"4281_ANTHONY_BYPASS
WEST_JAMES,_SD_85869",DANALARSON@HOTMAIL.COM,-40.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-08,LICENCIATURA_EN_TERAPIA_OCUPACIONAL,2506
ROBERT,MOSLEY,M,"53488_EDWARDS_FOREST_SUITE_666
NEW_NICHOLAS,_WA_73015",ZMORENO@GMAIL.COM,5.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-07,DISEÑO_INDUSTRIAL,2909
JON,MITCHELL,M,"6744_JESSE_GREENS_SUITE_567
MARIACHESTER,_MA_04088",KARENPERRY@GMAIL.COM,-40.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-23,LICENCIATURA_EN_CIENCIAS_BIOLÓGICAS,2187
NATHANIEL,GONZALEZ,M,"8670_CHRISTY_GATEWAY_SUITE_514
ELLIOTTVILLE,_AR_15500",JACOBBECKER@YAHOO.COM,-2.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-12-11,CIENCIAS_VETERINARIAS,3561
NATHANIEL,GONZALEZ,M,"8670_CHRISTY_GATEWAY_SUITE_514
ELLIOTTVILLE,_AR_15500",JACOBBECKER@YAHOO.COM,-2.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-12-11,CIENCIAS_VETERINARIAS,1870
SHARON,LEON,F,"9702_LOZANO_BURG_APT._355
ADAMTON,_MA_12655",HMILLS@YAHOO.COM,10.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-12-27,CONTADOR_PÚBLICO_,3557
SHARON,LEON,F,"9702_LOZANO_BURG_APT._355
ADAMTON,_MA_12655",HMILLS@YAHOO.COM,10.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-12-27,CONTADOR_PÚBLICO_,3386
JAMES,COMBS,M,"77262_LINDA_VISTA
LAKE_AUSTIN,_AR_82630",LEACHOLIVIA@GMAIL.COM,36.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-28,ARQUITECTURA,6346
ALICIA,PATTON,F,"0951_TURNER_SPRINGS
LAKE_MATTHEW,_AR_91235",VICTORKNIGHT@YAHOO.COM,19.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-16,LICENCIATURA_EN_CIENCIAS_BIOLÓGICAS,4186
ANDREA,THOMPSON,F,"10969_DEBORAH_RAPID_SUITE_623
NORTH_CRYSTAL,_AL_35917",SNORRIS@YAHOO.COM,-38.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-26,LICENCIATURA_EN_SOCIOLOGÍA_,4655
LINDSEY,COLEMAN,F,"719_KYLE_GREENS_SUITE_339
ANGELABURGH,_KY_12988",PHILLIP39@HOTMAIL.COM,-6.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-11,LICENCIATURA_EN_TERAPIA_OCUPACIONAL,8364
DONNA,DURAN,F,"7236_MICHELLE_SQUARES
WEST_TIMOTHY,_WY_65977",RDUNN@YAHOO.COM,5.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-06,LICENCIATURA_EN_CIENCIA_POLÍTICA_,7535
SHERRI,COX,F,"60836_TIMOTHY_WALL_SUITE_359
SOUTH_LOGANSTAD,_TN_03708",GREGORYGREEN@HOTMAIL.COM,36.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-04,BIOQUÍMICA,6244
ZACHARY,GLOVER,M,"809_SWEENEY_CURVE
LAURIEMOUTH,_KS_07860",UGARCIA@GMAIL.COM,7.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-23,BIOQUÍMICA,7009
HEATHER,BYRD,F,"685_SMITH_KEYS_SUITE_057
THERESATON,_NC_74307",MALLORY31@HOTMAIL.COM,-32.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-25,CIENCIAS_VETERINARIAS,8127
JOANNE,RAMOS,F,"USS_PRATT
FPO_AE_19014",YHERRERA@HOTMAIL.COM,43.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-12,DISEÑO_DE_IMAGEN_Y_SONIDO,7620
DEBORAH,JONES_DDS,F,"675_MORALES_COVES_SUITE_927
NEW_CHRISTOPHERSHIRE,_PA_16835",QHO@GMAIL.COM,34.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-19,INGENIERÍA_ELECTRÓNICA,6734
JESSICA,OWENS,F,"3505_ROBERT_GARDEN_APT._552
NEW_EMILYSIDE,_DE_51522",STEPHANIEADKINS@GMAIL.COM,8.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-21,LICENCIATURA_EN_ARTES,8138
GEORGE,JOHNSTON,M,"404_MAYER_LAKE_APT._763
GREGORYBURY,_CT_31421",EMMAMORALES@GMAIL.COM,-41.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-12-07,LICENCIATURA_EN_MUSICOTERAPIA,1686
RONALD,SCOTT,M,"1664_RIVERA_ROAD
SOUTH_KIMBERLYPORT,_CA_38812",BARRROBERT@HOTMAIL.COM,3.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-24,AGRONOMÍA,2717
WENDY,WILLIAMS,F,"465_JENNIFER_LANDING_SUITE_939
ERICVIEW,_MA_19894",KIMBERLYHUGHES@HOTMAIL.COM,-17.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-22,INGENIERÍA_MECÁNICA,4630
JAMES,AGUILAR,M,"9551_AMANDA_UNDERPASS_SUITE_606
SAUNDERSPORT,_DC_85870",DEDWARDS@GMAIL.COM,-1.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-23,LICENCIATURA_EN_KINESIOLOGÍA_Y_FISIATRÍA,3453
CHRISTOPHER,WILLIAMS,M,"USS_BRADLEY
FPO_AA_04031",CHRISTY62@HOTMAIL.COM,-24.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-06,LICENCIATURA_EN_RELACIONES_DEL_TRABAJO_,4434
CYNTHIA,COLEMAN,F,"84497_TREVOR_POINT
SOUTH_KEITHCHESTER,_ND_56987",WHITEBRITTANY@HOTMAIL.COM,51.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-12-10,DISEÑO_DE_IMAGEN_Y_SONIDO,3332
DAVID,MITCHELL,M,"9560_BRENDA_CENTER
WEST_JANICEFORT,_OR_35078",STACYJOHNSON@HOTMAIL.COM,21.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-07,FARMACIA,1913
NICHOLAS,MAYNARD,M,"3018_FOX_BRANCH
GARCIABOROUGH,_WV_07878",LEWISAARON@GMAIL.COM,-23.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-01,DISEÑO_INDUSTRIAL,5738
NICHOLAS,MAYNARD,M,"3018_FOX_BRANCH
GARCIABOROUGH,_WV_07878",LEWISAARON@GMAIL.COM,-23.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-01,DISEÑO_INDUSTRIAL,3540
LINDA,TORRES,F,"2688_SAMANTHA_COURSE_APT._392
SYDNEYVILLE,_MO_62134",CHRISTOPHER50@HOTMAIL.COM,40.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-27,DISEÑO_DE_IMAGEN_Y_SONIDO,5569
LINDA,TORRES,F,"2688_SAMANTHA_COURSE_APT._392
SYDNEYVILLE,_MO_62134",CHRISTOPHER50@HOTMAIL.COM,40.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-27,DISEÑO_DE_IMAGEN_Y_SONIDO,4111
CARLA,HENRY,F,"790_ALISHA_VIA
PORT_ANNA,_MD_16285",JESSE47@HOTMAIL.COM,16.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-23,CONTADOR_PÚBLICO_,2121
THOMAS,JOHNSON,M,"045_BAILEY_ROUTE
ELIJAHPORT,_ID_24146",JONESDAVID@GMAIL.COM,39.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-23,LICENCIATURA_EN_ARTES,3332
SAMANTHA,NEWMAN,F,"4753_HILL_HILL
NORTH_BRITTNEY,_IL_34148",RPATTERSON@HOTMAIL.COM,-26.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-01,LICENCIATURA_EN_PSICOLOGÍA,3332
JENNIFER,FERRELL,F,"89320_DOUGLAS_CRESCENT
GRAYFURT,_CO_40467",PBROWNING@YAHOO.COM,-44.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-15,ACTUARIO_,9105
JENNIFER,FERRELL,F,"89320_DOUGLAS_CRESCENT
GRAYFURT,_CO_40467",PBROWNING@YAHOO.COM,-44.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-15,ACTUARIO_,3481
CASSANDRA,MARTINEZ,F,"211_ARMSTRONG_FORDS_APT._709
MICHELLECHESTER,_ND_73478",HUFFMANKATHRYN@GMAIL.COM,28.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-07,FARMACIA,5595
ERIN,REED,F,"7426_SMITH_CENTER
NORTH_LAURIEVILLE,_WY_56638",QCLARK@GMAIL.COM,14.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-29,LICENCIATURA_EN_MUSICOTERAPIA,5636
KELLY,WARREN,F,"29910_JUAN_STREETS_APT._643
PAULBURGH,_FL_37032",CRYSTALRUSSELL@HOTMAIL.COM,51.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-06,LICENCIATURA_EN_PSICOLOGÍA,1884
PATRICIA,MAY,F,"68870_ASHLEY_MISSION
LAKE_CRYSTALSHIRE,_TX_04092",DOUGHERTYKATHERINE@HOTMAIL.COM,-46.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-15,ARQUITECTURA,2643
DEBRA,SCHULTZ,F,"7887_KATHERINE_EXPRESSWAY
JACKSONFORT,_OK_60255",ISABELGARRISON@HOTMAIL.COM,44.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-05,TÉCNICO_PARA_BIOTERIOS_,5311
RICHARD,SMITH,M,"42886_JUSTIN_RIDGES_SUITE_919
JAMESHAVEN,_NV_17913",XSMITH@HOTMAIL.COM,-18.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-12-14,AGRONOMÍA,7150
JAMES,HALL,M,"2075_FREDERICK_ESTATES_APT._663
LUCASVIEW,_ID_86476",ARCHERRACHEL@HOTMAIL.COM,-23.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-12,LICENCIATURA_EN_PSICOLOGÍA,7535
SUSAN,BENNETT,F,"15016_RYAN_TURNPIKE
NEW_JAMESSHIRE,_CO_91466",ROBERTSSETH@HOTMAIL.COM,16.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-14,INGENIERÍA_MECÁNICA,2303
JOSEPH,REILLY,M,"452_HAWKINS_SHOAL
TORRESSTAD,_AL_45337",DAVIDGROSS@GMAIL.COM,-14.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-01,CONTADOR_PÚBLICO_,3032
CHRISTOPHER,COOK,M,"USNS_HALL
FPO_AE_95021",CHILL@GMAIL.COM,40.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-24,DISEÑO_DE_IMAGEN_Y_SONIDO,8154
DANIELLE,CASEY,F,"7118_HOWARD_MOUNTAIN_SUITE_465
HECTORVIEW,_AL_99337",CARPENTERDIANA@GMAIL.COM,8.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-19,LICENCIATURA_EN_ADMINISTRACIÓN_,3557
DANIELLE,CASEY,F,"7118_HOWARD_MOUNTAIN_SUITE_465
HECTORVIEW,_AL_99337",CARPENTERDIANA@GMAIL.COM,8.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-19,LICENCIATURA_EN_ADMINISTRACIÓN_,3386
HEATHER,JOHNSON,F,"76255_LONNIE_PLAINS_APT._399
SOUTH_BRANDONVIEW,_MI_34354",COMPTONKARA@GMAIL.COM,14.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-02,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,6401
TAYLOR,MORROW,F,"929_MORRISON_MEWS_SUITE_344
NEW_CHRISTYBOROUGH,_FL_72092",ALAN42@HOTMAIL.COM,28.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-14,DISEÑO_DE_IMAGEN_Y_SONIDO,2242
JILL,NELSON,F,"2428_SHIRLEY_TUNNEL_SUITE_959
LISABURY,_MI_92139",HOFFMANBRANDON@HOTMAIL.COM,6.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-17,LICENCIATURA_EN_KINESIOLOGÍA_Y_FISIATRÍA,7639
KATHY,LOPEZ,F,"6786_CUNNINGHAM_RADIAL
ROJASTON,_AZ_46260",BCARPENTER@GMAIL.COM,-43.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-31,LICENCIATURA_EN_CIENCIAS_AMBIENTALES,2824
RODNEY,BURNETT,M,"4019_KRISTA_DAM
JENNIFERBURY,_FL_70173",COURTNEY16@HOTMAIL.COM,14.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-12,ACTUARIO_,5331
AMANDA,FITZPATRICK,F,"87969_JEREMY_FIELD_APT._040
SOUTH_ERICA,_SC_17021",ERYAN@HOTMAIL.COM,47.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-09,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,6326
BRYAN,COLON,M,"58040_TIMOTHY_WELLS
SOUTH_JOSEPH,_NV_81177",EMILYPOTTER@GMAIL.COM,5.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-24,DISEÑO_INDUSTRIAL,5306
BRANDON,CLAYTON,M,"68784_LINDA_TRAIL_SUITE_053
MICHELLEFURT,_MD_22426",TROYMCCULLOUGH@GMAIL.COM,32.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-31,LICENCIATURA_EN_CIENCIAS_DE_LA_EDUCACIÓN_,8512
TAMMY,FLORES,F,"9248_ANDERSON_WAY
EAST_RODNEYTON,_IL_01708",BAILEYRODNEY@YAHOO.COM,2.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-03,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,2808
JODI,CARRILLO,F,"PSC_9596,_BOX_7547
APO_AP_55463",OCASTILLO@GMAIL.COM,23.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-13,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,5634
KRISTIN,STEVENS,F,"38631_JOHNSON_PINE
DENISETON,_KS_50925",HEATHERGARNER@YAHOO.COM,34.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-24,LICENCIATURA_EN_GESTIÓN_DE_AGROALIMENTOS,3048
JENNIFER,SMITH,F,"66764_PETERS_MOUNTAIN
SOUTH_DAWN,_HI_74205",SCOTTMURRAY@YAHOO.COM,-39.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-06,LICENCIATURA_EN_CIENCIA_POLÍTICA_,2179
WILLIAM,CLARK,M,"7108_WILSON_PARKWAYS_SUITE_067
JIMENEZBURY,_SD_67353",JOEL35@HOTMAIL.COM,2.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-25,LICENCIATURA_EN_PRODUCCIÓN_DE_BIOIMAGENES,6632
BROOKE,LAWRENCE,F,"05710_JORDAN_MEADOW_APT._656
BAUERBOROUGH,_AK_82223",JENNIFER96@HOTMAIL.COM,-37.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-27,LICENCIATURA_EN_ADMINISTRACIÓN_,2179
TERESA,BLACKBURN,F,"915_ADAMS_EXTENSIONS_SUITE_171
EAST_SANDRA,_CA_45250",EYOUNG@HOTMAIL.COM,-42.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-28,DISEÑO_INDUSTRIAL,4235
TERESA,BLACKBURN,F,"915_ADAMS_EXTENSIONS_SUITE_171
EAST_SANDRA,_CA_45250",EYOUNG@HOTMAIL.COM,-42.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-28,DISEÑO_INDUSTRIAL,4231
JENNA,GUERRERO,F,"0958_JIMENEZ_UNDERPASS_SUITE_216
WELLSVIEW,_CO_19616",MELISSABARTLETT@GMAIL.COM,-21.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-13,LICENCIATURA_EN_TERAPIA_OCUPACIONAL,2445
JAMES,FLYNN,M,"41770_FISHER_COMMON
OROZCOFORT,_OK_19765",TODD84@GMAIL.COM,50.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-16,TÉCNICO_PARA_BIOTERIOS_,8134
DONALD,RIOS,M,"21985_ASHLEY_LAKE
KENTMOUTH,_OR_18388",OTURNER@HOTMAIL.COM,9.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-07,CIENCIAS_VETERINARIAS,6339
JOHN,MANN,M,"78333_LISA_CRESCENT
TRACIESTAD,_MN_87014",HELENFORD@GMAIL.COM,52.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-18,ARQUITECTURA,5400
ALISHA,SANCHEZ,F,"3309_BURTON_BROOKS
EAST_THOMASMOUTH,_LA_81757",JOHNPEARSON@YAHOO.COM,-14.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-12-17,INGENIERÍA_MECÁNICA,1702
JOHN,ROBERTS,M,"701_TURNER_INLET
CAROLYNVIEW,_OH_16053",TIMOTHY48@YAHOO.COM,11.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-22,LICENCIATURA_EN_PSICOLOGÍA,5474
JOHN,ROBERTS,M,"701_TURNER_INLET
CAROLYNVIEW,_OH_16053",TIMOTHY48@YAHOO.COM,11.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-22,LICENCIATURA_EN_PSICOLOGÍA,3000
ERIC,JOHNSON,M,"6915_MARIA_PORT
JIMENEZMOUTH,_NM_63644",CHRISTOPHER15@HOTMAIL.COM,3.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-23,LICENCIATURA_EN_RELACIONES_DEL_TRABAJO_,2722
JENNIFER,PETERSON,F,"4621_MUNOZ_TRACK
AUSTINFURT,_IL_43277",ALEXANDER14@GMAIL.COM,4.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-21,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,6438
GREGORY,MORGAN,M,"611_STEPHENS_PARK_APT._026
CHANEYBERG,_WI_58577",MARY26@YAHOO.COM,13.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-12,ACTUARIO_,2214
CATHERINE,MUNOZ,F,"2184_CAMERON_CAPE
OLIVIASHIRE,_PA_37422",AHART@YAHOO.COM,8.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-15,LICENCIATURA_EN_CIENCIAS_DE_LA_EDUCACIÓN_,6078
MARK,ORTEGA,M,"03516_LEE_FALL_APT._430
WEST_CORY,_GA_52580",ADAM97@GMAIL.COM,-4.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-09,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,4161
JASON,CRAIG,M,"5705_PARKER_GATEWAY_SUITE_350
PATRICKVIEW,_IL_58152",MICHELLE72@GMAIL.COM,13.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-11,BIOQUÍMICA,3083
CHRISTY,MCGUIRE,F,"22985_GINA_SHORE
JUDYSIDE,_CA_39563",KELLY33@GMAIL.COM,-35.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-10,AGRONOMÍA,8373
WHITNEY,KENT,F,"577_MATTHEW_BYPASS_APT._010
MOOREVIEW,_NH_95831",DUKEHOLLY@HOTMAIL.COM,-3.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-21,LICENCIATURA_EN_PSICOLOGÍA,2529
JUSTIN,WHITAKER,M,"PSC_5982,_BOX_0589
APO_AA_36479",BARKERMICHAEL@HOTMAIL.COM,6.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-11-02,LICENCIATURA_EN_MUSICOTERAPIA,2722
STEVEN,ZIMMERMAN,M,"13092_BRUCE_THROUGHWAY
LAKE_THOMAS,_VT_70474",LAUREN10@GMAIL.COM,26.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-23,LICENCIATURA_EN_ADMINISTRACIÓN_,4644
MONICA,SMITH,F,"PSC_0170,_BOX_2027
APO_AE_34543",LESLIEFRANCIS@HOTMAIL.COM,37.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-14,AGRONOMÍA,1909
MICHAEL,JOHNSON,M,"5451_DAVID_GLEN_APT._328
CHRISTINAVILLE,_TX_93118",JASMINELARSEN@HOTMAIL.COM,18.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-10-23,LICENCIATURA_EN_CIENCIA_POLÍTICA_,6242
PAULA,TERRY,F,"1087_THOMPSON_ROAD
NORTH_JOSEFORT,_KY_33932",SEAN50@YAHOO.COM,2.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-04,LICENCIATURA_EN_CIENCIAS_ANTROPOLÓGICAS,3048
JOSHUA,TURNER,M,"3827_APRIL_VILLAGES
SOUTH_LACEY,_NM_97702",GALLAGHERDANIELLE@YAHOO.COM,43.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2020-09-07,LICENCIATURA_EN_GESTIÓN_DE_AGROALIMENTOS,5873
CRAIG,CRAWFORD,M,"7548_ANGELA_DIVIDE_APT._717
WEST_STEPHANIESHIRE,_IA_92586",AMY86@YAHOO.COM,48.0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,2021-01-13,LICENCIATURA_EN_TERAPIA_OCUPACIONAL,5474
