university,career,inscription_date,first_name,last_name,gender,age
universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020-12-14,cory,miller,male,11419
universidad tecnológica nacional,ingeniería mecánica,2021-01-28,christina,moses,female,22708
universidad nacional de jujuy,actuario,2021-01-24,manuel,booth,male,27340
universidad nacional de jujuy,contador público,2021-01-23,curtis,stone,male,10076
universidad tecnológica nacional,arquitectura,2020-12-10,thomas,cook,male,38343
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020-11-02,samantha,mcdowell,female,23827
universidad nacional de jujuy,bioquímica,2020-09-05,travis,lopez,male,38015
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-10-21,debra,perez,female,28764
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-09-10,angela,hernandez,female,21547
universidad tecnológica nacional,licenciatura en psicología,2020-09-29,amy,houston,female,5424
universidad tecnológica nacional,licenciatura en ciencia política,2021-01-23,john,reeves,male,14434
universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2021-01-18,andrea,holmes,female,17956
universidad tecnológica nacional,bioquímica,2020-11-04,stacy,smith,female,9825
universidad tecnológica nacional,arquitectura,2020-11-12,william,jacobson,male,2436
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020-10-18,jeffrey,nolan,male,32214
universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-09-16,julie,christensen,female,27870
universidad tecnológica nacional,licenciatura en sociología,2020-09-08,amy,shah,female,30997
universidad tecnológica nacional,ingeniería mecánica,2020-09-13,thomas,sheppard,male,30727
universidad nacional de jujuy,agronomía,2020-09-14,donald,baker,male,28723
universidad nacional de jujuy,diseño industrial,2020-12-03,melanie,richards,female,34123
universidad nacional de jujuy,ingeniería mecánica,2020-12-28,nicholas,dougherty,male,20050
universidad tecnológica nacional,bioquímica,2020-12-05,lisa,hartman,female,9174
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-10-05,terry,zimmerman,female,19947
universidad tecnológica nacional,bioquímica,2020-10-10,julie,kim,female,13015
universidad tecnológica nacional,diseño de imagen y sonido,2020-11-19,mark,cervantes,male,20615
universidad tecnológica nacional,actuario,2020-11-10,mckenzie,lynch,female,7520
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-02,christina,green,female,6699
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020-10-24,amy,johnson,female,14366
universidad nacional de jujuy,licenciatura en psicología,2020-10-05,corey,nichols,male,41698
universidad tecnológica nacional,contador público,2020-09-21,daniel,hubbard,male,19770
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2021-01-09,samantha,maxwell,female,35497
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2021-01-27,alexandra,davis,female,37982
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-11-12,steven,charles,male,41516
universidad tecnológica nacional,farmacia,2020-10-04,lisa,dyer,female,33543
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-09-21,thomas,johnson,male,23867
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-02,jessica,hampton,female,30520
universidad nacional de jujuy,contador público,2021-01-06,joe,cunningham,male,6359
universidad nacional de jujuy,contador público,2020-12-13,mr.,john,male,9555
universidad tecnológica nacional,diseño industrial,2020-09-25,katie,weber,female,36031
universidad nacional de jujuy,licenciatura en musicoterapia,2020-11-03,joshua,reed,male,10930
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-09-18,kathy,wright,female,569
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-12-18,carolyn,brown,female,20612
universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-11-21,scott,wells,male,27519
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-26,katie,scott,female,38846
universidad nacional de jujuy,agronomía,2020-10-10,kevin,green,male,12981
universidad tecnológica nacional,medicina,2020-11-27,olivia,hodges,female,17173
universidad tecnológica nacional,licenciatura en ciencia política,2020-12-11,glenda,barnes,female,20849
universidad tecnológica nacional,licenciatura en administración,2020-10-11,michael,wallace,male,14872
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-12-14,lance,williams,male,1433
universidad nacional de jujuy,arquitectura,2021-01-19,jerry,ewing,male,24206
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020-11-12,tina,gordon,female,32669
universidad tecnológica nacional,actuario,2020-11-01,kimberly,stewart,female,31186
universidad tecnológica nacional,licenciatura en psicología,2021-01-21,michelle,lewis,female,13856
universidad nacional de jujuy,arquitectura,2021-01-15,james,jones,male,41027
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2021-01-20,rachel,calderon,female,27190
universidad tecnológica nacional,actuario,2020-10-02,michael,frye,male,9686
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-11-12,david,pollard,male,37765
universidad nacional de jujuy,farmacia,2020-09-08,victoria,logan,female,9029
universidad nacional de jujuy,agronomía,2020-10-24,oscar,benton,male,16382
universidad tecnológica nacional,técnico para bioterios,2021-01-27,monica,jennings,female,40594
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020-12-26,joshua,jones,male,22113
universidad tecnológica nacional,licenciatura en psicología,2021-01-02,jennifer,barton,female,34066
universidad tecnológica nacional,diseño industrial,2020-09-14,theresa,stuart,female,12304
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2021-01-23,travis,stafford,male,20043
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-11-04,phillip,woods,male,32438
universidad nacional de jujuy,licenciatura en terapia ocupacional,2021-01-28,anthony,phillips,male,33137
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-12-20,melody,chapman,female,6366
universidad nacional de jujuy,técnico para bioterios,2020-10-22,laura,sanchez,female,9499
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-12-15,zachary,lyons,male,22899
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-10-05,richard,webb,male,24481
universidad tecnológica nacional,bioquímica,2021-01-23,kaylee,gonzalez,female,35317
universidad tecnológica nacional,arquitectura,2021-01-23,lacey,johnson,female,27223
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-15,angela,russell,female,40561
universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020-09-09,todd,rose,male,17608
universidad nacional de jujuy,licenciatura en musicoterapia,2020-12-04,dominique,smith,female,29920
universidad tecnológica nacional,licenciatura en ciencias geológicas,2021-01-16,matthew,sullivan,male,23862
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2020-11-10,kayla,wilson,female,30447
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2021-01-21,samantha,jimenez,female,38143
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-12-10,leonard,wallace,male,37828
universidad nacional de jujuy,bioquímica,2020-09-09,john,white,male,13232
universidad tecnológica nacional,bioquímica,2020-11-27,jorge,jackson,male,40053
universidad tecnológica nacional,licenciatura en artes,2020-10-19,dawn,hodge,female,35546
universidad tecnológica nacional,licenciatura en sociología,2021-01-18,nicholas,carter,male,29953
universidad nacional de jujuy,diseño industrial,2020-09-18,monica,lee,female,22024
universidad tecnológica nacional,ingeniería en informática,2021-01-31,robert,watson,male,18280
universidad nacional de jujuy,bioquímica,2020-09-18,timothy,fleming,male,4255
universidad nacional de jujuy,agronomía,2021-01-24,eric,king,male,35491
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-09-03,diana,hamilton,female,25255
universidad nacional de jujuy,licenciatura en psicología,2020-09-16,paul,gray,male,36728
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-11-13,michael,gay,male,2081
universidad tecnológica nacional,ciencias veterinarias,2020-09-17,debra,ford,female,24910
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-10-05,michael,gomez,male,3429
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-11-10,paul,noble,male,16150
universidad tecnológica nacional,licenciatura en ciencias biológicas,2021-01-26,miss,lauren,female,31115
universidad nacional de jujuy,farmacia,2020-10-06,jake,anderson,male,18795
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-11,curtis,waters,male,33261
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-09-25,charles,long,male,27156
universidad nacional de jujuy,licenciatura en ciencias de la educación,2020-10-09,derek,parks,male,24711
universidad nacional de jujuy,licenciatura en administración,2020-11-19,rebecca,garcia,female,42173
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-10-10,candace,clark,female,4731
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-09-10,tammy,ewing,female,12066
universidad tecnológica nacional,agronomía,2020-12-04,rebecca,soto,female,22869
universidad tecnológica nacional,licenciatura en administración,2021-01-26,amy,ross,female,31170
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-06,micheal,richardson,male,31967
